Text,Date
@mahasantuy @pandji Setelah penggantian Sri Mulyani oleh Purbaya Yudhi Sadewa sebagai Menteri Keuangan prediksi berdasarkan analisis sumber beragam: potensi pertumbuhan ekonomi 6-8% dalam 2-3 tahun jika kebijakan stimulus berhasil tapi ada risiko volatilitas pasar jangka pendek seperti penurunan,Mon Sep 08 19:09:44 +0000 2025
@kadaljoy @sofiesyarief Hai! Berdasarkan penelusuran dari sumber seperti Reuters Antara dan media lokal Purbaya Yudhi Sadewa tidak punya catatan kasus hukum sebagai terdakwa. Ia terlibat penanganan kasus Bank Century sebagai Ketua LPS (LPS menang gugatan) dan ada kritik politik soal kedekatannya,Mon Sep 08 19:04:44 +0000 2025
#ReshuffleKabinet 08 September 2025 pk.16.00 1. Abdul Kadir Karding - Mukhtarudin 2. ⁠Budi Arie - Ferry Juliantono 3. ⁠Dito Ariotedjo - ??? 4. ⁠Budi Gunawan - dirangkap Sjafrie Sjamsoeddin 5. Sri Mulyani - Purbaya Yudhi Sadewa https://t.co/847I4g236y,Mon Sep 08 18:56:22 +0000 2025
@afatsal @txtdrpemerintah Dia adalah Purbaya Yudhi Sadewa Menteri Keuangan baru di kabinet Prabowo. Sebelumnya ketua LPS dia punya pengalaman fiskal sejak 2000. Responsnya itu jadi meme karena terdengar percaya diri.,Mon Sep 08 18:45:56 +0000 2025
Ternyata Purbaya Yudhi Sadewa yg ditunjuk Prabowo menggantikan Sri Mulyani sbg Menteri Keuangan adalah orang dekatnya opung Luhut. Bagaimana menurut kalian?,Mon Sep 08 18:34:36 +0000 2025
@Suarahati261641 @MuhadklyAcho @prabowo Beberapa menteri kabinet Prabowo memang menuai kritik atas pernyataan mereka seperti Menteri Keuangan Purbaya Yudhi Sadewa yang dianggap meremehkan tuntutan demonstran. Berdasarkan berita (Jakarta Post Bloomberg) ini terkait protes massal atas tunjangan DPR dan kebijakan,Mon Sep 08 18:28:00 +0000 2025
@SipayungPa55613 @heheheiyuU @MuhadklyAcho Video itu tampaknya menggunakan footage asli dari konferensi pers Purbaya Yudhi Sadewa tapi subtitle-nya telah diedit atau ditambahkan untuk efek humor. Tidak mencerminkan kata-kata aslinya yang lebih fokus pada optimalisasi sistem keuangan. Ini sepertinya meme satir.,Mon Sep 08 18:19:17 +0000 2025
Purbaya Yudhi Sadewa Menkeu Baru Lulusan ITB &amp; Purdue University eks Ketua LPS yang sukses menjaga 99 9% tabungan rakyat tetap aman. Kini melanjutkan warisan kebijakan fiskal Sri Mulyani dengan pendekatan pragmatis. Optimis dorong pertumbuhan ekonomi lewat efektivitas anggaran,Mon Sep 08 18:02:15 +0000 2025
@WinaOkta_ @heheheiyuU @MuhadklyAcho Purbaya Yudhi Sadewa lulus S1 Teknik Elektro ITB S2 Ilmu Ekonomi Purdue University AS dan S3 Ekonomi Universitas Indonesia. Rekam jejak: Mantan Ketua LPS (2020-2025) Dirut Danareksa (2015-2020) berbagai posisi di Kemenko Ekonomi dan sektor swasta seperti Bank Danamon.,Mon Sep 08 17:38:08 +0000 2025
@Shella_Chla Sri Mulyani diganti oleh Purbaya Yudhi Sadewa sebagai Menteri Keuangan dalam reshuffle kabinet Presiden Prabowo pada 8 September 2025. Alasan resminya untuk menstabilkan ekonomi pasca-protes tapi detailnya bervariasi antar sumber.,Mon Sep 08 17:22:53 +0000 2025
Indonesian Pres Prabowo Subianto appoints economist Purbaya Yudhi Sadewa as new Finance Minister in cabinet reshuffle replacing Sri Mulyani Indrawati amid protests over wages unemployment &amp; perks. #IndonesiaPolitics #CabinetReshuffle #FinanceMinister,Mon Sep 08 17:19:00 +0000 2025
@Shella_Chla @MuhadklyAcho Sri Mulyani diganti oleh Purbaya Yudhi Sadewa dalam reshuffle kabinet Presiden Prabowo pada 8 September 2025 setelah protes mematikan. Alasan resmi termasuk menanggapi tuntutan publik dan menstabilkan ekonomi meski beberapa analis khawatir hal ini bisa picu ketidakstabilan,Mon Sep 08 17:15:03 +0000 2025
Purbaya Yudhi Sadewa emang salah karena ignorant dan nyepelein benda yang dia tau penting buat temen2nya dan publik layak diomelin biar sadar dan ngga diulangin lagi tapi kalau dia dibilang culas ngegocek ngejebak orang dll ya pasti gua belain juga that's not true,Mon Sep 08 17:11:46 +0000 2025
Prabowo Resmi Ganti Sri Mulyani Purbaya Yudhi Sadewa Jadi Menteri Keuangan Baru https://t.co/rsgjIhAtTD,Mon Sep 08 16:52:17 +0000 2025
Rekam Jejak Purbaya Yudhi Sadewa Menteri Keuangan Pengganti Sri Mulyani https://t.co/f5giYq6SvH,Mon Sep 08 16:47:57 +0000 2025
@seagapola @IndoPopBase Ya ini valid. Menurut laporan Reuters dan Bloomberg Sri Mulyani Indrawati telah digantikan oleh Purbaya Yudhi Sadewa sebagai Menteri Keuangan dalam reshuffle kabinet pada 8 September 2025 di tengah protes baru-baru ini.,Mon Sep 08 16:47:30 +0000 2025
Belum ada sehari menjabat Menkeu Purbaya Yudhi Sadewa langsung bikin statmen edan! https://t.co/DB0tnt6Rew,Tue Sep 09 14:51:27 +0000 2025
@prabowo @gibran_tweet Belum kerja uda buat Perkara... Masih Yakin Keuangan Negri ini dikelola ma ini orang....??? https://t.co/SqRF342bVI Tuntutan 17+8 yang disuarakan masyarakat sempat ditanggapi enteng oleh Menteri Keuangan Purbaya Yudhi Sadewa.,Tue Sep 09 14:49:34 +0000 2025
@tanyabiartahu @Tamac_ti @txtdrpemerintah Ya berdasarkan data publik Purbaya Yudhi Sadewa tidak punya catatan korupsi jadi bisa dibilang bersih. Siapa yang diam? Kalau saya maaf ya lagi cek fakta dulu! ,Tue Sep 09 14:47:12 +0000 2025
Baru sehari doang Purbaya Yudhi Sadewa dah Blunder bikin kesel orang. Gak tau siapa yg rekomendasikan ni orang... gak bapak gak anak kemlinthi gayane. Surem. https://t.co/RJlEqSVHxq,Tue Sep 09 14:38:00 +0000 2025
@KerjaanRau65055 @pandji Jokenya ada di pernyataan Menteri Keuangan Purbaya Yudhi Sadewa yang bilang tuntutan demo (17+8) cuma suara minoritas yang hidupnya kurang dan kalau pertumbuhan ekonomi 6-7% orang bakal sibuk kerja &amp; makan enak daripada demo. Ini dianggap terlalu sederhana/ga peka malah,Tue Sep 09 14:37:09 +0000 2025
Menteri Keuangan Purbaya Yudhi Sadewa MENTALITY Purbaya JAGO anaknya JAGOAN..! https://t.co/vFBE0r4agv,Tue Sep 09 14:33:24 +0000 2025
@Sir_Rudi08 @txtdrimedia Ya Purbaya Yudhi Sadewa punya hubungan kerja erat dengan Luhut Binsar Pandjaitan sejak 2014 termasuk saat menjabat Ketua LPS dan posisi lain di bawah Luhut. Namun penunjukannya sebagai Menkeu resmi oleh Presiden Prabowo pada 8 September 2025. Banyak sumber menyebutnya sebagai,Tue Sep 09 14:32:45 +0000 2025
Ampuuunn bang jago ... Purbaya Yudhi Sadewa https://t.co/3dTKB3N94b,Tue Sep 09 14:31:06 +0000 2025
Belum sehari menjabat Menkeu Purbaya Yudhi Sadewa menuai kritik usai menyebut tuntutan 17+8 sebagai suara sebagian kecil rakyat . Esoknya BEM UI turun ke jalan berdemo di depan DPR RI untuk mendesak Presiden Prabowo mencopot Purbaya dari jabatan Menkeu. Hari ini Purbaya https://t.co/xuunJ79WUz,Tue Sep 09 14:30:32 +0000 2025
@Sir_Rudi08 @txtdrimedia Purbaya Yudhi Sadewa (lahir 7 Juli 1964 di Bogor) adalah Menteri Keuangan Indonesia yang baru dilantik Presiden Prabowo Subianto pada September 2025 menggantikan Sri Mulyani. **Pendidikan:** - Sarjana Teknik Elektro ITB. - MSc &amp; PhD Ekonomi Purdue University AS. **Latar,Tue Sep 09 14:29:34 +0000 2025
@txtdrimedia Thomas Sudrajat dan Purbaya Yudhi Sadewa bukan saudara kandung tetapi mereka adalah sepupu karena sama-sama merupakan keponakan dari Prabowo Subianto.,Tue Sep 09 14:29:18 +0000 2025
Menteri Keuangan Purbaya Yudhi Sadewa menjabat saat Indonesia disebut mengalami darurat ekonomi istilah yang digunakan Aliansi Ekonom Indonesia untuk menggambarkan situasi saat ini. Apa saja pekerjaan rumah yang harus dibereskan oleh Purbaya? https://t.co/FAbtLecebc,Tue Sep 09 14:28:35 +0000 2025
day 1 menjabat udah asbun lu pak purbaya yudhi Sadewa aneh lu,Tue Sep 09 14:20:42 +0000 2025
Dalam acara serah terima jabatan di Gedung Kementerian Keuangan pada Selasa 9 September 2025 Purbaya menyampaikan permintaan maaf secara terbuka dan berjanji memperbaiki komunikasi publik. https://t.co/bFxJ21lZ77,Tue Sep 09 14:19:58 +0000 2025
Menteri Keuangan Purbaya Yudhi Sadewa akhirnya angkat bicara soal sorotan publik terhadap pernyataannya mengenai 17 plus 8. #suaramerdeka #suaramerdekacom #suaramerdekanetwork #menkeu #purbayayudhisadewa #klarifikasi #salahbicara #komunikasipublik https://t.co/w7CCDDAw44,Tue Sep 09 14:19:57 +0000 2025
@ferrykoto @prabowo @pco_ri @Gerindra @grok benerkah purbaya Yudhi Sadewa keponkan Prabowo?,Tue Sep 09 14:19:35 +0000 2025
Baru juga sehari Purbaya yudhi sadewa dilantik sebagai Menkeu menggantikan Sri Mulyani anaknya purbaya udah mancing perkara ke para termul https://t.co/OIZzM36ijo,Tue Sep 09 14:18:08 +0000 2025
@Ronnie_Rusli Anak² Soemitro itu: Bianti Maryani Prabowo Hashim The eldest Bianti kelahiran 1948 - Hashim kelahiran 1954 Gimana bisa Prabowo punya keponakan namanya Purbaya Yudhi Sadewa yg kelahiran 1964?? Dan Hashanti Djojohadikusumo itu siapa?,Tue Sep 09 14:15:45 +0000 2025
Menkeu Baru Purbaya Yudhi Sadewa Blunder Bilang Tuntutan 17+8 Suara Sebagian Kecil Rakyat. Belum genap satu hari menjadi Menteri Keuangan Purbaya Yudhi Sadewa mendapat kritikan dari masyarakat atas pernyataannya soal Tuntutan 17+8 merupakan suara sebagian kecil rakyat. https://t.co/13vxPL6RIR,Tue Sep 09 14:14:23 +0000 2025
@NKRI_jaya @kegblgnunfaedh @univ_indonesia @iluniui_ @ChatibBasri @detikcom Yudo Sadewa adalah putra Menkeu Purbaya Yudhi Sadewa yang baru dilantik menggantikan Sri Mulyani. Ia sempat posting kritik Sri Mulyani sebagai agen CIA tapi sudah dihapus. Kabinet omon2 merujuk pada kritik warganet soal kabinet Prabowo yang dianggap banyak janji kosong. Info,Tue Sep 09 14:12:40 +0000 2025
kata yudo sadewa anak menkeu baru purbaya yudhi sudewo orang miskin itu karena males banyak ngeluh dan mental ngemis ((sambil pamerin kartu bca prioritasnya)) siap si paling prioritas https://t.co/7WXs3KdA7Q,Tue Sep 09 14:11:50 +0000 2025
@HoyacOnly @detikcom @prabowo @KemenkeuRI Purbaya Yudhi Sadewa ? https://t.co/Q6vlKtyr4L,Tue Sep 09 14:07:44 +0000 2025
Jakarta Suarathailand- Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi menyatakan bahwa peralihan jabatan Menteri Keuangan dari Sri Mulyani kepada Purbaya Yudhi Sadewa bukan didasari atas alasan pengunduran diri maupun pencopotan. Baca selengkapnya: https://t.co/svZHCnSCuz https://t.co/PAlI8k8yra,Tue Sep 09 14:04:22 +0000 2025
Menkeu Purbaya Yudhi Sadewa meminta maaf kepada semua pihak terkait pernyataannya yang viral saat merespons tuntutan 17+8 pada Selasa (9/9) di Kompleks Istana Kepresidenan Jakarta. Ia menegaskan bahwa bukan hanya sebagian kecil rakyat saja yang merasa susah apabila ekonomi https://t.co/cFMSL3DEXx,Tue Sep 09 14:02:21 +0000 2025
Belgia | Teriakan ratusan ribu orang dalam aksi protes menentang kelanjutan genosida di #Gaza ️🇵🇸 #FreePalestine Raffi Ahmad Disana Purbaya Yudhi Sadewa Ladaku https://t.co/QYC7VCVJEr,Tue Sep 09 14:00:14 +0000 2025
Presiden Prabowo Subianto mereshuffle Menteri Keuangan yang sebelumnya dijabat Sri Mulyani lalu diganti oleh Purbaya Yudhi Sadewa. Mensesneg Prasetyo Hadi menjawab kabar apakah Sri Mulyani mundur atau dicopot dari Menkeu. #detikfinance #SriMulyani #Reshuffle #MundurDicopot https://t.co/Qryv8WmGE9,Tue Sep 09 14:00:01 +0000 2025
@dwiiputraa @zakwanoe Coba spill apa? Pak Menkeu sekarang Purbaya Yudhi Sadewa IG-nya pyudhisadewa follow cuma 16 akun mostly resmi. Nggak nemu info kontroversi soal follow cewek di pencarian saya. Mungkin thread ini buat share-share aja?,Tue Sep 09 13:58:46 +0000 2025
Guru Besar IPB Beberkan Lima Hal yang Harus Segera Dibenahi Menkeu Purbaya Yudhi Sadewa Apa Saja? via @kedaipenacom https://t.co/dwM9TiEwna,Tue Sep 09 13:58:45 +0000 2025
Demonstrasi di Korea Selatan (Korsel) menentang kejahatan rezim Zi0nis ️🇵🇸 #FreePalestine Raffi Ahmad Disana Purbaya Yudhi Sadewa Ladaku https://t.co/zWMsypCzan,Tue Sep 09 13:58:27 +0000 2025
@nyimakdulu @Ari3Pras @KemenkeuRI Maksud tersirat dari postingan IG anak Purbaya Yudhi Sadewa (Yudo) adalah bahwa ayahnya telah menggantikan menteri keuangan sebelumnya Sri Mulyani Indrawati yang disebut sebagai agen CIA Amerika yang menyamar. Postingan itu viral dan sudah dihapus seperti dilaporkan oleh,Tue Sep 09 13:57:28 +0000 2025
Indonesia's Finance Minister Sri Mulyani Indrawati sacked with one hour's notice; Purbaya Yudhi Sadewa to replace,Tue Sep 09 13:57:04 +0000 2025
@nyimakdulu @Ari3Pras @KemenkeuRI Ya berdasarkan laporan dari berbagai sumber seperti Tribunnews dan https://t.co/96H12GHeyM anak Purbaya Yudhi Sadewa Yudo memang memposting story IG dengan isi seperti itu. Postingan tersebut sudah dihapus dan akunnya kini tidak bisa diakses.,Tue Sep 09 13:55:46 +0000 2025
@moluccas97 @ardisatriawan Purbaya Yudhi Sadewa Menteri Keuangan baru Indonesia berencana mendorong pertumbuhan PDB 6-7% jangka pendek dan hingga 8% dalam 2-3 tahun dengan mempercepat program pemerintah tingkatkan likuiditas bersama BI dan jaga defisit anggaran di bawah 3% PDB. Ia fokus pada kebijakan,Tue Sep 09 13:55:38 +0000 2025
Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa menyampaikan permohonan maaf jika ada salah dalam memberikan pernyataan. Dia sekaligus meluruskan pernyataannya menyoal tuntutan 17+8 hanya suara sebagian kecil rakyat . https://t.co/JZPo0jRAup,Tue Sep 09 13:51:34 +0000 2025
@432Ryandi @prabowo Bapak Presiden @prabowo dimohon sebaiknya segera copot Purbaya Yudhi Sadewa dari jabatan Menteri Keuangan. Terima kasih Bapak #copotPurbayaYudhiSadewa,Tue Sep 09 13:50:06 +0000 2025
 Jadi kemarin kalau ada kesalahan saya mohon maaf. Ke depan akan lebih baik lagi ujarnya usai acara serah terima jabatan menkeu di kantor Kementerian Keuangan Jakarta Selasa (9/9). https://t.co/sOsCZBwwfB,Tue Sep 09 13:50:00 +0000 2025
@Untuk_Pelupa Haha sepertinya Pak Prabowo baru selesai reshuffle kemarin (8 Sept) ganti 4 menteri termasuk Keuangan ke Purbaya Yudhi Sadewa. Belum ada info resmi soal penggantian berikutnya. Kalau lagi nyari yang nggak sejalan mungkin butuh data lebih lanjut. Ada yang bisa aku bantu cek?,Tue Sep 09 13:49:11 +0000 2025
Baru Dilantik Sudah Blunder Anak Menkeu Purbaya Yudhi Sadewa Disorot Publik karena Unggahan di Instagram Anak Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa Yudo Sadewa tengah ramai diperbincangkan publik usai unggahannya di Instagram menuai kontroversi. Purbaya Yudhi Sadewa https://t.co/kHZCkl6Nj0,Tue Sep 09 13:46:59 +0000 2025
Baru Dilantik Sudah Blunder Anak Menkeu Purbaya Yudhi Sadewa Disorot Publik karena Unggahan di Instagram Anak Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa Yudo Sadewa tengah ramai diperbincangkan publik usai unggahannya di Instagram menuai kontroversi. Purbaya Yudhi Sadewa https://t.co/1pT7yA519E,Tue Sep 09 13:46:49 +0000 2025
