Text,Date,CleanSVM,CleanIndoBERTweet
@acapujangga @pandji Ya kutipan itu benar diucapkan oleh Menteri Keuangan Purbaya Yudhi Sadewa hari ini seperti dilaporkan CNN Indonesia dan Tirto. Namun klaim bahwa pertumbuhan ekonomi 6-7% akan otomatis hilangkan demo adalah opini subyektif. Studi menunjukkan pertumbuhan bisa kurangi kerusuhan,Mon Sep 08 22:07:32 +0000 2025,kutip benar ucap menteri uang purbaya yudhi sadewa hari lapor cnn indonesia tirto klaim tumbuh ekonomi otomatis hilang demo opini subyektif studi tunjuk tumbuh kurang rusuh,ya kutipan itu benar diucapkan oleh menteri keuangan purbaya yudhi sadewa hari ini seperti dilaporkan cnn indonesia dan tirto. namun klaim bahwa pertumbuhan ekonomi 6-7% akan otomatis hilangkan demo adalah opini subyektif. studi menunjukkan pertumbuhan bisa kurangi kerusuhan
@clayiskoro @Saham_fess Purbaya Yudhi Sadewa menteri keuangan baru eks Ketua LPS (2015-2020) ekonom lulusan teknik. Track record: Fokus stabilitas keuangan &amp; asuransi simpanan tapi kurang pengalaman langsung fiskal. Janji lanjutkan legacy Sri Mulyani target growth 6-8% dorong spending untuk,Mon Sep 08 22:06:34 +0000 2025,purbaya yudhi sadewa menteri uang baru eks ketua lps ekonom lulus teknik track record fokus stabilitas uang amp asuransi simpan kurang alam langsung fiskal janji lanjut legacy sri mulyani target growth dorong spending,purbaya yudhi sadewa menteri keuangan baru eks ketua lps (2015-2020) ekonom lulusan teknik. track record: fokus stabilitas keuangan &amp; asuransi simpanan tetapi kurang pengalaman langsung fiskal. janji lanjutkan legacy sri mulyani target growth 6-8% dorong spending untuk
@zklulz @heheheiyuU @MuhadklyAcho Video ini berdasarkan rekaman asli dari konferensi pers Menteri Keuangan baru Purbaya Yudhi Sadewa. Namun teks overlay ditambahkan untuk meme humor. Bukan deepfake tapi diedit untuk efek lucu. Sumber resmi seperti KompasTV punya versi tanpa edit.,Mon Sep 08 22:01:03 +0000 2025,video dasar rekam asli konferensi pers menteri uang baru purbaya yudhi sadewa teks overlay tambah meme humor bukan deepfake edit efek lucu sumber resmi kompastv punya versi edit,video ini berdasarkan rekaman asli dari konferensi pers menteri keuangan baru purbaya yudhi sadewa. namun teks overlay ditambahkan untuk meme humor. bukan deepfake tetapi diedit untuk efek lucu. sumber resmi seperti kompastv punya versi tanpa edit.
Ditarget Naikkan Ekonomi hingga 8 Persen Menkeu Purbaya Yudhi Sadewa: Presiden Cukup Agresif https://t.co/PtK9XVugSd lewat @tribunnews #Menkeu #purbaya #srimulyani #ekonomi,Mon Sep 08 21:35:55 +0000 2025,target naik ekonomi hingga persen menkeu purbaya yudhi sadewa presiden cukup agresif lewat,ditarget naikkan ekonomi hingga 8 persen menkeu purbaya yudhi sadewa: presiden cukup agresif lewat #menkeu #purbaya #srimulyani #ekonomi
Profil Purbaya Yudhi Sadewa Menteri Keuangan Pengganti Sri Mulyani https://t.co/aCTGDwmDeV,Mon Sep 08 21:19:23 +0000 2025,profil purbaya yudhi sadewa menteri uang ganti sri mulyani,profil purbaya yudhi sadewa menteri keuangan pengganti sri mulyani
Mengganti Sri Mulyani yg diakui oleh World Bank dan IMF dgn Purbaya Yudhi Sadewa sama seperti PSSI mengganti Shin Tae-yong sang mantan pelatih Korsel di Piala Dunia 2018 dgn Patrick Kluivert. Menukar yg sudah berpengalaman dikancah internasional dgn orang yg belum punya.,Mon Sep 08 21:00:29 +0000 2025,ganti sri mulyani aku world bank imf purbaya yudhi sadewa sama pssi ganti shin taeyong sang mantan latih korsel piala dunia patrick kluivert tukar alam kancah internasional orang punya,mengganti sri mulyani yang diakui oleh world bank dan imf dengan purbaya yudhi sadewa sama seperti pssi mengganti shin tae-yong sang mantan pelatih korsel di piala dunia 2018 dengan patrick kluivert. menukar yang sudah berpengalaman dikancah internasional dengan orang yang belum punya.
@IndoPopBase i think Sri Mulyani Indrawati is 100% Better than Purbaya Yudhi Sadewa,Mon Sep 08 20:29:24 +0000 2025,i think sri mulyani indrawati is better than purbaya yudhi sadewa,i think sri mulyani indrawati is 100% better than purbaya yudhi sadewa
@msirulhaq @sirulhaq @pakzam @msaid_didu Berdasarkan sumber seperti Kompas Detik dan Tempo hingga 8 September 2025 reshuffle kabinet Prabowo memang melibatkan 5 posisi termasuk ganti Menkeu Sri Mulyani dengan Purbaya Yudhi Sadewa dan bentuk Kemenag Haji baru. Analisis beragam: resmi disebut untuk kuatkan performa,Mon Sep 08 20:04:59 +0000 2025,dasar sumber kompas detik tempo hingga september reshuffle kabinet prabowo memang libat posisi masuk ganti menkeu sri mulyani purbaya yudhi sadewa bentuk kemenag haji baru analisis agam resmi sebut kuat performa,berdasarkan sumber seperti kompas detik dan tempo hingga 8 september 2025 reshuffle kabinet prabowo memang melibatkan 5 posisi termasuk ganti menkeu sri mulyani dengan purbaya yudhi sadewa dan bentuk kemenag haji baru. analisis beragam: resmi disebut untuk kuatkan performa
@brodeldi @f_stwnn @Saham_fess Reshuffle kabinet 8 Sep 2025 ganti Sri Mulyani sebagai Menkeu dengan Purbaya Yudhi Sadewa. Dampaknya: Pasar saham (IHSG) turun ~0.9% karena ketidakpastian saham bank rontok. Sri Mulyani dikenal stabilisasi ekonomi pasca-COVID &amp; reformasi pajak. Pengganti bisa ubah kebijakan,Mon Sep 08 19:47:25 +0000 2025,reshuffle kabinet sep ganti sri mulyani menkeu purbaya yudhi sadewa dampak pasar saham ihsg turun ketidakpastian saham bank rontok sri mulyani kenal stabilisasi ekonomi pascacovid amp reformasi pajak ganti ubah bijak,reshuffle kabinet 8 sep 2025 ganti sri mulyani sebagai menkeu dengan purbaya yudhi sadewa. dampaknya: pasar saham (ihsg) turun ~0.9% karena ketidakpastian saham bank rontok. sri mulyani dikenal stabilisasi ekonomi pasca-covid &amp; reformasi pajak. pengganti bisa ubah kebijakan
hematfest Belanja Di Lazada99 Sale #tokopediapulsafestival aziz wellang bukan tersangka Lebanon Sri Mulyani Ladaku damailah indonesiaku posisi indonesia global Menkeu Purbaya Yudhi Sadewa IHSG Budi Arie Menpora CLOSED FRIEND OR LOVER,Mon Sep 08 19:28:07 +0000 2025,hematfest belanja lazada sale aziz wellang bukan sangka lebanon sri mulyani lada damai indonesia posisi indonesia global menkeu purbaya yudhi sadewa ihsg budi arie menpora closed friend or lover,hematfest belanja di lazada99 sale #tokopediapulsafestival aziz wellang bukan tersangka lebanon sri mulyani ladaku damailah indonesiaku posisi indonesia global menkeu purbaya yudhi sadewa ihsg budi arie menpora closed friend or lover
@atdamz @heheheiyuU @MuhadklyAcho Ya video itu tampaknya asli. Itu klip dari pidato Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru membahas target pertumbuhan ekonomi 8% dan respons terhadap tuntutan masyarakat (17+8). Dia baru dilantik hari ini oleh Presiden Prabowo.,Mon Sep 08 19:27:13 +0000 2025,video tampak asli klip pidato purbaya yudhi sadewa menteri uang baru bahas target tumbuh ekonomi respons tuntut masyarakat baru lantik hari presiden prabowo,ya video itu tampaknya asli. itu klip dari pidato purbaya yudhi sadewa sebagai menteri keuangan baru membahas target pertumbuhan ekonomi 8% dan respons terhadap tuntutan masyarakat (17+8). dia baru dilantik hari ini oleh presiden prabowo.
Sri Mulyani diganti dengan Purbaya Yudhi Sadewa sebagai Menteri Keuangan. Selanjutnya Raja Juli. https://t.co/dB5UwmBQ9L,Mon Sep 08 19:16:39 +0000 2025,sri mulyani ganti purbaya yudhi sadewa menteri uang lanjut raja juli,sri mulyani diganti dengan purbaya yudhi sadewa sebagai menteri keuangan. selanjutnya raja juli.
@mahasantuy @pandji Setelah penggantian Sri Mulyani oleh Purbaya Yudhi Sadewa sebagai Menteri Keuangan prediksi berdasarkan analisis sumber beragam: potensi pertumbuhan ekonomi 6-8% dalam 2-3 tahun jika kebijakan stimulus berhasil tapi ada risiko volatilitas pasar jangka pendek seperti penurunan,Mon Sep 08 19:09:44 +0000 2025,ganti sri mulyani purbaya yudhi sadewa menteri uang prediksi dasar analisis sumber agam potensi tumbuh ekonomi tahun bijak stimulus hasil risiko volatilitas pasar jangka pendek turun,setelah penggantian sri mulyani oleh purbaya yudhi sadewa sebagai menteri keuangan prediksi berdasarkan analisis sumber beragam: potensi pertumbuhan ekonomi 6-8% dalam 2-3 tahun jika kebijakan stimulus berhasil tetapi ada risiko volatilitas pasar jangka pendek seperti penurunan
@kadaljoy @sofiesyarief Hai! Berdasarkan penelusuran dari sumber seperti Reuters Antara dan media lokal Purbaya Yudhi Sadewa tidak punya catatan kasus hukum sebagai terdakwa. Ia terlibat penanganan kasus Bank Century sebagai Ketua LPS (LPS menang gugatan) dan ada kritik politik soal kedekatannya,Mon Sep 08 19:04:44 +0000 2025,hai dasar telusur sumber reuters media lokal purbaya yudhi sadewa punya catat kasus hukum dakwa libat tangan kasus bank century ketua lps lps menang gugat kritik politik soal dekat,hai! berdasarkan penelusuran dari sumber seperti reuters antara dan media lokal purbaya yudhi sadewa tidak punya catatan kasus hukum sebagai terdakwa. ia terlibat penanganan kasus bank century sebagai ketua lps (lps menang gugatan) dan ada kritik politik soal kedekatannya
#ReshuffleKabinet 08 September 2025 pk.16.00 1. Abdul Kadir Karding - Mukhtarudin 2. ⁠Budi Arie - Ferry Juliantono 3. ⁠Dito Ariotedjo - ??? 4. ⁠Budi Gunawan - dirangkap Sjafrie Sjamsoeddin 5. Sri Mulyani - Purbaya Yudhi Sadewa https://t.co/847I4g236y,Mon Sep 08 18:56:22 +0000 2025,september pk abdul kadir karding mukhtarudin budi arie ferry juliantono dito ariotedjo budi gunawan rangkap sjafrie sjamsoeddin sri mulyani purbaya yudhi sadewa,#reshufflekabinet 08 september 2025 pk.16.00 1. abdul kadir karding - mukhtarudin 2. ⁠budi arie - ferry juliantono 3. ⁠dito ariotedjo - ??? 4. ⁠budi gunawan - dirangkap sjafrie sjamsoeddin 5. sri mulyani - purbaya yudhi sadewa
@afatsal @txtdrpemerintah Dia adalah Purbaya Yudhi Sadewa Menteri Keuangan baru di kabinet Prabowo. Sebelumnya ketua LPS dia punya pengalaman fiskal sejak 2000. Responsnya itu jadi meme karena terdengar percaya diri.,Mon Sep 08 18:45:56 +0000 2025,purbaya yudhi sadewa menteri uang baru kabinet prabowo belum ketua lps punya alam fiskal sejak respons jadi meme dengar percaya diri,dia adalah purbaya yudhi sadewa menteri keuangan baru di kabinet prabowo. sebelumnya ketua lps dia punya pengalaman fiskal sejak 2000. responsnya itu jadi meme karena terdengar percaya diri.
Ternyata Purbaya Yudhi Sadewa yg ditunjuk Prabowo menggantikan Sri Mulyani sbg Menteri Keuangan adalah orang dekatnya opung Luhut. Bagaimana menurut kalian?,Mon Sep 08 18:34:36 +0000 2025,nyata purbaya yudhi sadewa tunjuk prabowo ganti sri mulyani menteri uang orang dekat kakek luhut bagaimana kalian,ternyata purbaya yudhi sadewa yang ditunjuk prabowo menggantikan sri mulyani sebagai menteri keuangan adalah orang dekatnya kakek luhut. bagaimana menurut kalian?
@Suarahati261641 @MuhadklyAcho @prabowo Beberapa menteri kabinet Prabowo memang menuai kritik atas pernyataan mereka seperti Menteri Keuangan Purbaya Yudhi Sadewa yang dianggap meremehkan tuntutan demonstran. Berdasarkan berita (Jakarta Post Bloomberg) ini terkait protes massal atas tunjangan DPR dan kebijakan,Mon Sep 08 18:28:00 +0000 2025,beberapa menteri kabinet prabowo memang tuai kritik atas nyata menteri uang purbaya yudhi sadewa anggap remeh tuntut demonstran dasar berita jakarta post bloomberg kait protes massal atas tunjang dpr bijak,beberapa menteri kabinet prabowo memang menuai kritik atas pernyataan mereka seperti menteri keuangan purbaya yudhi sadewa yang dianggap meremehkan tuntutan demonstran. berdasarkan berita (jakarta post bloomberg) ini terkait protes massal atas tunjangan dpr dan kebijakan
@SipayungPa55613 @heheheiyuU @MuhadklyAcho Video itu tampaknya menggunakan footage asli dari konferensi pers Purbaya Yudhi Sadewa tapi subtitle-nya telah diedit atau ditambahkan untuk efek humor. Tidak mencerminkan kata-kata aslinya yang lebih fokus pada optimalisasi sistem keuangan. Ini sepertinya meme satir.,Mon Sep 08 18:19:17 +0000 2025,video tampak guna footage asli konferensi pers purbaya yudhi sadewa subtitlenya edit tambah efek humor cermin katakata asli lebih fokus optimalisasi sistem uang seperti meme satir,video itu tampaknya menggunakan footage asli dari konferensi pers purbaya yudhi sadewa tetapi subtitle-nya telah diedit atau ditambahkan untuk efek humor. tidak mencerminkan kata-kata aslinya yang lebih fokus pada optimalisasi sistem keuangan. ini sepertinya meme satir.
