text,date,CleanSVM,CleanIndoBERTweet,Label
@moluccas97 @ardisatriawan Purbaya Yudhi Sadewa Menteri Keuangan baru Indonesia berencana mendorong pertumbuhan PDB 6-7% jangka pendek dan hingga 8% dalam 2-3 tahun dengan mempercepat program pemerintah tingkatkan likuiditas bersama BI dan jaga defisit anggaran di bawah 3% PDB. Ia fokus pada kebijakan,Tue Sep 09 13:55:38 +0000 2025,purbaya yudhi sadewa menteri uang baru indonesia rencana dorong tumbuh pdb jangka pendek hingga tahun cepat program perintah tingkat likuiditas sama bi jaga defisit anggar bawah pdb fokus bijak,purbaya yudhi sadewa menteri keuangan baru indonesia berencana mendorong pertumbuhan pdb 6-7% jangka pendek dan hingga 8% dalam 2-3 tahun dengan mempercepat program pemerintah tingkatkan likuiditas bersama bi dan jaga defisit anggaran di bawah 3% pdb. ia fokus pada kebijakan,1.0
Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa menyampaikan permohonan maaf jika ada salah dalam memberikan pernyataan. Dia sekaligus meluruskan pernyataannya menyoal tuntutan 17+8 hanya suara sebagian kecil rakyat . https://t.co/JZPo0jRAup,Tue Sep 09 13:51:34 +0000 2025,menteri uang menkeu purbaya yudhi sadewa sampai mohon maaf salah beri nyata sekaligus lurus nyata soal tuntut suara bagi kecil rakyat,menteri keuangan (menkeu) purbaya yudhi sadewa menyampaikan permohonan maaf jika ada salah dalam memberikan pernyataan. dia sekaligus meluruskan pernyataannya menyoal tuntutan 17+8 hanya suara sebagian kecil rakyat .,2.0
@432Ryandi @prabowo Bapak Presiden @prabowo dimohon sebaiknya segera copot Purbaya Yudhi Sadewa dari jabatan Menteri Keuangan. Terima kasih Bapak #copotPurbayaYudhiSadewa,Tue Sep 09 13:50:06 +0000 2025,bapak presiden mohon baik segera copot purbaya yudhi sadewa jabat menteri uang terima kasih bapak,bapak presiden dimohon sebaiknya segera copot purbaya yudhi sadewa dari jabatan menteri keuangan. terima kasih bapak #copotpurbayayudhisadewa,1.0
 Jadi kemarin kalau ada kesalahan saya mohon maaf. Ke depan akan lebih baik lagi ujarnya usai acara serah terima jabatan menkeu di kantor Kementerian Keuangan Jakarta Selasa (9/9). https://t.co/sOsCZBwwfB,Tue Sep 09 13:50:00 +0000 2025,jadi kemarin kalau salah mohon maaf depan lebih baik ujar usai acara serah terima jabat menkeu kantor menteri uang jakarta selasa,jadi kemarin kalau ada kesalahan saya mohon maaf. ke depan akan lebih baik lagi ujarnya usai acara serah terima jabatan menkeu di kantor kementerian keuangan jakarta selasa (9/9).,1.0
Baru Dilantik Sudah Blunder Anak Menkeu Purbaya Yudhi Sadewa Disorot Publik karena Unggahan di Instagram Anak Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa Yudo Sadewa tengah ramai diperbincangkan publik usai unggahannya di Instagram menuai kontroversi. Purbaya Yudhi Sadewa https://t.co/kHZCkl6Nj0,Tue Sep 09 13:46:59 +0000 2025,baru lantik blunder anak menkeu purbaya yudhi sadewa sorot publik unggah instagram anak menteri uang menkeu purbaya yudhi sadewa yudo sadewa tengah ramai bincang publik usai unggah instagram tuai kontroversi purbaya yudhi sadewa,baru dilantik sudah blunder anak menkeu purbaya yudhi sadewa disorot publik karena unggahan di instagram anak menteri keuangan (menkeu) purbaya yudhi sadewa yudo sadewa tengah ramai diperbincangkan publik usai unggahannya di instagram menuai kontroversi. purbaya yudhi sadewa,2.0
Baru Dilantik Sudah Blunder Anak Menkeu Purbaya Yudhi Sadewa Disorot Publik karena Unggahan di Instagram Anak Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa Yudo Sadewa tengah ramai diperbincangkan publik usai unggahannya di Instagram menuai kontroversi. Purbaya Yudhi Sadewa https://t.co/1pT7yA519E,Tue Sep 09 13:46:49 +0000 2025,baru lantik blunder anak menkeu purbaya yudhi sadewa sorot publik unggah instagram anak menteri uang menkeu purbaya yudhi sadewa yudo sadewa tengah ramai bincang publik usai unggah instagram tuai kontroversi purbaya yudhi sadewa,baru dilantik sudah blunder anak menkeu purbaya yudhi sadewa disorot publik karena unggahan di instagram anak menteri keuangan (menkeu) purbaya yudhi sadewa yudo sadewa tengah ramai diperbincangkan publik usai unggahannya di instagram menuai kontroversi. purbaya yudhi sadewa,2.0
Baru Dilantik Sudah Blunder Anak Menkeu Purbaya Yudhi Sadewa Disorot Publik karena Unggahan di Instagram Anak Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa Yudo Sadewa tengah ramai diperbincangkan publik usai unggahannya di Instagram menuai kontroversi. Purbaya Yudhi Sadewa https://t.co/UcEpUJRoFY,Tue Sep 09 13:45:40 +0000 2025,baru lantik blunder anak menkeu purbaya yudhi sadewa sorot publik unggah instagram anak menteri uang menkeu purbaya yudhi sadewa yudo sadewa tengah ramai bincang publik usai unggah instagram tuai kontroversi purbaya yudhi sadewa,baru dilantik sudah blunder anak menkeu purbaya yudhi sadewa disorot publik karena unggahan di instagram anak menteri keuangan (menkeu) purbaya yudhi sadewa yudo sadewa tengah ramai diperbincangkan publik usai unggahannya di instagram menuai kontroversi. purbaya yudhi sadewa,2.0
@rifatmars @BRICSinfo Analisa saya: Menteri baru seperti Purbaya Yudhi Sadewa (Keuangan) punya pengalaman teknokrat yang bisa jaga kestabilan fiskal &amp; lanjutkan kebijakan bagus. Ferry Juliantono (Koperasi) &amp; Mukhtarudin (Perlindungan Pekerja Migran) dari partai koalisi potensi dorong program Prabowo,Tue Sep 09 13:42:16 +0000 2025,analisis menteri baru purbaya yudhi sadewa uang punya alam teknokrat jaga stabil fiskal amp lanjut bijak bagus ferry juliantono koperasi amp mukhtarudin lindung kerja migran partai koalisi potensi dorong program prabowo,analisis saya: menteri baru seperti purbaya yudhi sadewa (keuangan) punya pengalaman teknokrat yang bisa jaga kestabilan fiskal &amp; lanjutkan kebijakan bagus. ferry juliantono (koperasi) &amp; mukhtarudin (perlindungan pekerja migran) dari partai koalisi potensi dorong program prabowo,1.0
@ibnu_s_rIxiiIAs @ethadisaputra @SuperGrok Haha maaf kalau bikin kisruh tapi diskusi terbuka kan seru! Soal reshuffle dari sumber seperti Reuters &amp; Bloomberg: Penggantian Bu Sri Mulyani oleh Purbaya Yudhi Sadewa picu gejolak pasar (IHSG turun 1 28% rupiah melemah). Banyak investor khawatir hilangnya kebijakan,Tue Sep 09 13:31:36 +0000 2025,haha maaf kalau bikin kisruh diskusi buka kan seru soal reshuffle sumber reuters amp bloomberg ganti bu sri mulyani purbaya yudhi sadewa picu gejolak pasar ihsg turun rupiah lemah banyak investor khawatir hilang bijak,haha maaf kalau bikin kisruh tetapi diskusi terbuka kan seru! soal reshuffle dari sumber seperti reuters &amp; bloomberg: penggantian bu sri mulyani oleh purbaya yudhi sadewa picu gejolak pasar (ihsg turun 1 28% rupiah melemah). banyak investor khawatir hilangnya kebijakan,2.0
Pengganti Menkeu Ibu Sri Mulyani Wah Blunder amat nih Purbaya Yudhi Sadewa baru juga menjabat jadi Menteri Keuangan . Selamat Hari Olahraga Nasional . Berharap Menpora Indonesia Bang Ade Rai #PerformaKelas Bet Bola Piala Dunia Disini: https://t.co/jdiKDqj8tt https://t.co/y0FVvD1p0c,Tue Sep 09 13:27:31 +0000 2025,ganti menkeu ibu sri mulyani wah blunder nih purbaya yudhi sadewa baru jabat jadi menteri uang selamat hari olahraga nasional harap menpora indonesia bang ade rai bet bola piala dunia sini,pengganti menkeu ibu sri mulyani wah blunder amat nih purbaya yudhi sadewa baru juga menjabat jadi menteri keuangan . selamat hari olahraga nasional . berharap menpora indonesia bang ade rai #performakelas bet bola piala dunia disini:,2.0
Tanggapan Prabowo Mengenai Tuntutan 17+8 Banyak Yang Masuk Akal Ga Seirama Dengan Menkeu Yang Baru. Semoga Purbaya Yudhi Sadewa Lebih Banyak Kerjanya Daripada Blundernya Kita Lihat Sampai Berapa Lama Dia Mampu Bertahan. Presiden Menkeu https://t.co/8x17owKPgY,Tue Sep 09 13:24:36 +0000 2025,tanggap prabowo kena tuntut banyak masuk akal irama menkeu baru moga purbaya yudhi sadewa lebih banyak kerja blundernya lihat berapa lama mampu tahan presiden menkeu,tanggapan prabowo mengenai tuntutan 17+8 banyak yang masuk akal tidak seirama dengan menkeu yang baru. semoga purbaya yudhi sadewa lebih banyak kerjanya daripada blundernya kita lihat sampai berapa lama dia mampu bertahan. presiden menkeu,2.0
Terima kasih kepada Ibu Sri Mulyani Indrawati atas dedikasi dan pengabdiannya bagi keuangan negara. Selamat datang dan selamat bertugas kepada Bapak Purbaya Yudhi Sadewa. Semoga amanah baru ini membawa kemajuan dan kesejahteraan bagi bangsa. 🇮🇩 #srimulyani #PurbayaYudhiSadewa https://t.co/bnfSsUfefF,Tue Sep 09 13:18:20 +0000 2025,terima kasih ibu sri mulyani indrawati atas dedikasi abdi uang negara selamat datang selamat tugas bapak purbaya yudhi sadewa moga amanah baru bawa maju sejahtera bangsa ,terima kasih kepada ibu sri mulyani indrawati atas dedikasi dan pengabdiannya bagi keuangan negara. selamat datang dan selamat bertugas kepada bapak purbaya yudhi sadewa. semoga amanah baru ini membawa kemajuan dan kesejahteraan bagi bangsa. 🇮🇩 #srimulyani #purbayayudhisadewa,1.0
Baru dilantik jadi Menteri Keuangan Purbaya Yudhi Sadewa langsung dihadapkan tantangan besar: dari pertumbuhan ekonomi yang belum sesuai target defisit fiskal hingga menjaga stabilitas di tengah gejolak global.,Wed Sep 10 23:47:52 +0000 2025,baru lantik jadi menteri uang purbaya yudhi sadewa langsung hadap tantang besar tumbuh ekonomi sesuai target defisit fiskal hingga jaga stabilitas tengah gejolak global,baru dilantik jadi menteri keuangan purbaya yudhi sadewa langsung dihadapkan tantangan besar: dari pertumbuhan ekonomi yang belum sesuai target defisit fiskal hingga menjaga stabilitas di tengah gejolak global.,1.0
